time,tgt_x,tgt_y,cur_x,cur_y,err_x,err_y,cmd_vx,cmd_vy,P_x,P_y,I_x,I_y,D_x,D_y
32.1895,0.9250,4.5750,0.7316,4.4642,0.1934,0.1108,0.0919,0.0762,0.1354,0.0776,0.0128,0.0483,-0.0131,-0.0138
32.2398,0.9250,4.5750,0.7362,4.4689,0.1888,0.1061,0.0909,0.0757,0.1322,0.0743,0.0130,0.0483,-0.0091,-0.0093
32.2900,0.9250,4.5750,0.7423,4.4749,0.1827,0.1001,0.0902,0.0744,0.1279,0.0700,0.0131,0.0483,-0.0123,-0.0121
32.3402,0.9250,4.5750,0.7462,4.4787,0.1788,0.0963,0.0895,0.0740,0.1252,0.0674,0.0133,0.0482,-0.0077,-0.0075
32.3905,0.9750,4.5750,0.7502,4.4825,0.2248,0.0925,0.0967,0.0626,0.1574,0.0648,0.0134,0.0482,-0.0079,-0.0075
32.4407,0.9750,4.5750,0.7537,4.4855,0.2213,0.0895,0.0960,0.0623,0.1549,0.0627,0.0136,0.0481,-0.0070,-0.0060
32.4909,0.9750,4.5750,0.7577,4.4891,0.2173,0.0859,0.0958,0.0612,0.1521,0.0601,0.0138,0.0481,-0.0080,-0.0072
32.5412,0.9750,4.5750,0.7618,4.4928,0.2132,0.0822,0.0954,0.0604,0.1492,0.0575,0.0140,0.0480,-0.0082,-0.0074
32.5914,0.9750,4.5750,0.7680,4.4984,0.2070,0.0766,0.0951,0.0586,0.1449,0.0536,0.0141,0.0480,-0.0122,-0.0111
32.6416,0.9750,4.5750,0.7718,4.5018,0.2032,0.0732,0.0944,0.0586,0.1423,0.0513,0.0143,0.0479,-0.0076,-0.0067
32.6919,0.9750,4.5750,0.7770,4.5061,0.1980,0.0689,0.0939,0.0576,0.1386,0.0482,0.0145,0.0479,-0.0104,-0.0087
32.7421,0.9750,4.5750,0.7792,4.5076,0.1958,0.0674,0.0931,0.0581,0.1371,0.0472,0.0146,0.0478,-0.0043,-0.0030
32.7923,0.9750,4.5750,0.7843,4.5118,0.1907,0.0632,0.0932,0.0564,0.1335,0.0442,0.0148,0.0478,-0.0102,-0.0084
32.8426,0.9500,4.4300,0.7869,4.5137,0.1631,-0.0837,0.1078,-0.0126,0.1142,-0.0586,0.0150,0.0477,-0.0052,-0.0036
32.8929,0.9500,4.4300,0.7928,4.5164,0.1572,-0.0864,0.1060,-0.0171,0.1101,-0.0605,0.0151,0.0476,-0.0117,-0.0055
32.9432,0.9500,4.4300,0.7988,4.5205,0.1512,-0.0905,0.1040,-0.0228,0.1058,-0.0633,0.0153,0.0475,-0.0120,-0.0081
32.9935,0.9500,4.4300,0.8030,4.5194,0.1470,-0.0894,0.1045,-0.0123,0.1029,-0.0626,0.0154,0.0474,-0.0084,0.0022
33.0438,0.9500,4.4300,0.8068,4.5189,0.1432,-0.0889,0.1034,-0.0133,0.1003,-0.0622,0.0156,0.0473,-0.0074,0.0009
33.0940,0.9500,4.4300,0.8125,4.5187,0.1375,-0.0887,0.1005,-0.0146,0.0962,-0.0621,0.0157,0.0472,-0.0115,0.0003
33.1444,0.9500,4.4300,0.8198,4.5202,0.1302,-0.0902,0.0926,-0.0189,0.0911,-0.0631,0.0158,0.0471,-0.0144,-0.0029
33.1947,0.9500,4.4300,0.8239,4.5214,0.1261,-0.0914,0.0961,-0.0194,0.0883,-0.0640,0.0160,0.0470,-0.0081,-0.0024
33.2450,0.9500,4.4300,0.8281,4.5212,0.1219,-0.0912,0.0930,-0.0164,0.0853,-0.0638,0.0161,0.0470,-0.0084,0.0005
33.2952,0.9500,4.4300,0.8305,4.5207,0.1195,-0.0907,0.0949,-0.0156,0.0836,-0.0635,0.0162,0.0469,-0.0049,0.0010
33.3455,0.9500,4.4300,0.8364,4.5182,0.1136,-0.0882,0.0841,-0.0101,0.0795,-0.0618,0.0163,0.0468,-0.0117,0.0049
33.3957,0.9500,4.4300,0.8389,4.5179,0.1111,-0.0879,0.0893,-0.0142,0.0778,-0.0615,0.0164,0.0467,-0.0049,0.0006
33.4459,0.9500,4.4300,0.8426,4.5177,0.1074,-0.0877,0.0844,-0.0143,0.0752,-0.0614,0.0165,0.0466,-0.0074,0.0005
33.4962,0.9500,4.4300,0.8453,4.5174,0.1047,-0.0874,0.0846,-0.0142,0.0733,-0.0612,0.0166,0.0465,-0.0053,0.0005
33.5465,0.9500,4.4300,0.8511,4.5153,0.0989,-0.0853,0.0742,-0.0090,0.0692,-0.0597,0.0167,0.0464,-0.0117,0.0043
33.5968,0.9500,4.4300,0.8543,4.5151,0.0957,-0.0851,0.0775,-0.0130,0.0670,-0.0596,0.0168,0.0463,-0.0063,0.0003
33.6472,0.9500,4.4300,0.8571,4.5153,0.0929,-0.0853,0.0763,-0.0137,0.0650,-0.0597,0.0169,0.0463,-0.0056,-0.0003
33.6975,0.9500,4.4300,0.8607,4.5151,0.0893,-0.0851,0.0725,-0.0131,0.0625,-0.0596,0.0170,0.0462,-0.0070,0.0003
33.7478,0.9500,4.4300,0.8657,4.5165,0.0843,-0.0865,0.0662,-0.0173,0.0590,-0.0606,0.0171,0.0461,-0.0099,-0.0028
33.7981,0.9500,4.4300,0.8679,4.5156,0.0821,-0.0856,0.0703,-0.0120,0.0575,-0.0599,0.0172,0.0460,-0.0044,0.0019
33.8483,0.9500,4.4300,0.8717,4.5154,0.0783,-0.0854,0.0645,-0.0134,0.0548,-0.0598,0.0173,0.0459,-0.0076,0.0004
33.8985,0.9500,4.4300,0.8769,4.5126,0.0731,-0.0826,0.0582,-0.0066,0.0512,-0.0578,0.0173,0.0458,-0.0103,0.0054
33.9488,0.9500,4.4300,0.8799,4.5126,0.0701,-0.0826,0.0606,-0.0119,0.0491,-0.0578,0.0174,0.0457,-0.0059,0.0001
33.9991,0.9500,4.4300,0.8823,4.5121,0.0677,-0.0821,0.0600,-0.0108,0.0474,-0.0574,0.0175,0.0457,-0.0048,0.0010
34.0494,0.9500,4.4300,0.8843,4.5119,0.0657,-0.0819,0.0595,-0.0113,0.0460,-0.0573,0.0175,0.0456,-0.0040,0.0004
34.0996,0.9500,4.4300,0.8865,4.5117,0.0635,-0.0817,0.0577,-0.0112,0.0444,-0.0572,0.0176,0.0455,-0.0044,0.0004
34.1500,0.9500,4.4300,0.8884,4.5115,0.0616,-0.0815,0.0569,-0.0112,0.0431,-0.0570,0.0177,0.0454,-0.0038,0.0004
34.2003,0.9500,4.4300,0.8906,4.5113,0.0594,-0.0813,0.0551,-0.0112,0.0416,-0.0569,0.0177,0.0453,-0.0043,0.0004
34.2505,0.9500,4.4300,0.8926,4.5111,0.0574,-0.0811,0.0540,-0.0111,0.0402,-0.0567,0.0178,0.0453,-0.0040,0.0004
34.3008,0.9500,4.4300,0.8945,4.5109,0.0555,-0.0809,0.0528,-0.0110,0.0388,-0.0566,0.0178,0.0452,-0.0038,0.0004
34.3510,0.9500,4.4300,0.8970,4.5099,0.0530,-0.0799,0.0501,-0.0090,0.0371,-0.0560,0.0179,0.0451,-0.0049,0.0018
34.4013,0.9500,4.4300,0.9014,4.5076,0.0486,-0.0776,0.0430,-0.0047,0.0340,-0.0543,0.0179,0.0450,-0.0089,0.0046
34.4515,0.9500,4.4300,0.9035,4.5067,0.0465,-0.0767,0.0464,-0.0070,0.0325,-0.0537,0.0180,0.0449,-0.0041,0.0017
34.5018,0.9500,4.4300,0.9052,4.5064,0.0448,-0.0764,0.0460,-0.0079,0.0314,-0.0535,0.0180,0.0449,-0.0034,0.0007
34.5521,0.9500,4.4300,0.9068,4.5061,0.0432,-0.0761,0.0451,-0.0079,0.0302,-0.0533,0.0181,0.0448,-0.0032,0.0006
34.6024,0.9500,4.4300,0.9085,4.5058,0.0415,-0.0758,0.0438,-0.0077,0.0290,-0.0530,0.0181,0.0447,-0.0033,0.0007
34.6526,0.9500,4.4300,0.9125,4.5036,0.0375,-0.0736,0.0365,-0.0025,0.0263,-0.0515,0.0182,0.0446,-0.0079,0.0043
34.7028,0.9500,4.4300,0.9142,4.5031,0.0358,-0.0731,0.0398,-0.0055,0.0250,-0.0511,0.0182,0.0446,-0.0035,0.0011
34.7531,0.9500,4.4300,0.9154,4.5029,0.0346,-0.0729,0.0401,-0.0062,0.0242,-0.0510,0.0182,0.0445,-0.0024,0.0003
34.8034,0.9500,4.4300,0.9178,4.5037,0.0322,-0.0737,0.0360,-0.0088,0.0225,-0.0516,0.0183,0.0444,-0.0047,-0.0016
34.8536,0.9500,4.4300,0.9204,4.5055,0.0296,-0.0755,0.0338,-0.0122,0.0207,-0.0529,0.0183,0.0443,-0.0052,-0.0036
34.9039,0.9500,4.4300,0.9227,4.5063,0.0273,-0.0763,0.0329,-0.0106,0.0191,-0.0534,0.0183,0.0443,-0.0045,-0.0014
34.9542,0.9500,4.4300,0.9238,4.5060,0.0262,-0.0760,0.0345,-0.0085,0.0184,-0.0532,0.0183,0.0442,-0.0022,0.0005
35.0045,0.9500,4.4300,0.9252,4.5057,0.0248,-0.0757,0.0330,-0.0082,0.0174,-0.0530,0.0184,0.0441,-0.0027,0.0006
35.0547,0.9500,4.4300,0.9284,4.5039,0.0216,-0.0739,0.0272,-0.0041,0.0152,-0.0517,0.0184,0.0440,-0.0064,0.0036
35.1050,0.9500,4.4300,0.9295,4.5036,0.0205,-0.0736,0.0305,-0.0069,0.0143,-0.0515,0.0184,0.0440,-0.0023,0.0006
35.1554,0.9500,4.4300,0.9309,4.5033,0.0191,-0.0733,0.0291,-0.0069,0.0134,-0.0513,0.0184,0.0439,-0.0027,0.0005
35.2057,0.9500,4.4300,0.9319,4.5031,0.0181,-0.0731,0.0290,-0.0070,0.0126,-0.0512,0.0184,0.0438,-0.0021,0.0004
35.2559,0.9500,4.4300,0.9329,4.5029,0.0171,-0.0729,0.0284,-0.0069,0.0119,-0.0510,0.0185,0.0437,-0.0020,0.0004
35.3062,0.9500,4.4300,0.9339,4.5029,0.0161,-0.0729,0.0278,-0.0073,0.0113,-0.0510,0.0185,0.0437,-0.0019,0.0000
35.3564,0.9500,4.4300,0.9352,4.5025,0.0148,-0.0725,0.0264,-0.0065,0.0104,-0.0508,0.0185,0.0436,-0.0025,0.0006
35.4067,0.9500,4.4300,0.9361,4.5024,0.0139,-0.0724,0.0265,-0.0068,0.0098,-0.0507,0.0185,0.0435,-0.0017,0.0003
35.4570,0.9500,4.4300,0.9374,4.5020,0.0126,-0.0720,0.0248,-0.0063,0.0088,-0.0504,0.0185,0.0434,-0.0026,0.0007
35.5073,0.9500,4.4300,0.9378,4.5020,0.0122,-0.0720,0.0262,-0.0069,0.0085,-0.0504,0.0185,0.0434,-0.0008,0.0001
35.5576,0.9500,4.4300,0.9392,4.5016,0.0108,-0.0716,0.0233,-0.0061,0.0076,-0.0501,0.0185,0.0433,-0.0028,0.0007
35.6078,0.9500,4.4300,0.9399,4.5013,0.0101,-0.0713,0.0241,-0.0062,0.0070,-0.0499,0.0186,0.0432,-0.0015,0.0005
35.6581,0.9500,4.4300,0.9412,4.5010,0.0088,-0.0710,0.0223,-0.0058,0.0062,-0.0497,0.0186,0.0432,-0.0025,0.0008
35.7083,0.9500,4.4300,0.9418,4.5008,0.0082,-0.0708,0.0230,-0.0061,0.0057,-0.0495,0.0186,0.0431,-0.0013,0.0004
35.7586,0.9500,4.4300,0.9430,4.5004,0.0070,-0.0704,0.0211,-0.0056,0.0049,-0.0493,0.0186,0.0430,-0.0024,0.0007
35.8088,0.9500,4.4300,0.9437,4.5003,0.0063,-0.0703,0.0217,-0.0059,0.0044,-0.0492,0.0186,0.0429,-0.0013,0.0004
35.8591,0.9500,4.4300,0.9448,4.5000,0.0052,-0.0700,0.0201,-0.0055,0.0036,-0.0490,0.0186,0.0429,-0.0022,0.0006
35.9094,0.9500,4.4300,0.9455,4.4997,0.0045,-0.0697,0.0204,-0.0056,0.0032,-0.0488,0.0186,0.0428,-0.0013,0.0004
35.9597,0.9500,4.4300,0.9468,4.4990,0.0032,-0.0690,0.0181,-0.0042,0.0022,-0.0483,0.0186,0.0427,-0.0027,0.0014
36.0100,0.9500,4.4300,0.9474,4.4986,0.0026,-0.0686,0.0192,-0.0044,0.0018,-0.0480,0.0186,0.0427,-0.0012,0.0009
36.0602,0.9500,4.4300,0.9479,4.4982,0.0021,-0.0682,0.0191,-0.0043,0.0015,-0.0477,0.0186,0.0426,-0.0009,0.0008
36.1104,0.9500,4.4300,0.9486,4.4976,0.0014,-0.0676,0.0181,-0.0035,0.0010,-0.0473,0.0186,0.0425,-0.0014,0.0012
36.1610,0.9500,4.4300,0.9491,4.4972,0.0009,-0.0672,0.0183,-0.0038,0.0006,-0.0470,0.0186,0.0425,-0.0009,0.0008
36.2112,0.9500,4.4300,0.9497,4.4966,0.0003,-0.0666,0.0175,-0.0032,0.0002,-0.0466,0.0186,0.0424,-0.0013,0.0011
36.2615,0.9500,4.4300,0.9503,4.4961,-0.0003,-0.0661,0.0172,-0.0030,-0.0002,-0.0463,0.0186,0.0423,-0.0012,0.0009
36.3118,0.9500,4.4300,0.9549,4.4948,-0.0049,-0.0648,0.0061,-0.0004,-0.0034,-0.0453,0.0186,0.0423,-0.0091,0.0027
36.3620,0.9500,4.4300,0.9555,4.4945,-0.0055,-0.0645,0.0134,-0.0025,-0.0039,-0.0452,0.0186,0.0422,-0.0013,0.0005
36.4123,0.9500,4.4300,0.9557,4.4944,-0.0057,-0.0644,0.0142,-0.0027,-0.0040,-0.0451,0.0186,0.0421,-0.0004,0.0003
36.4625,0.9500,4.4300,0.9558,4.4945,-0.0058,-0.0645,0.0144,-0.0031,-0.0041,-0.0451,0.0186,0.0421,-0.0001,-0.0001
36.5128,0.9500,4.4300,0.9558,4.4945,-0.0058,-0.0645,0.0145,-0.0032,-0.0041,-0.0452,0.0186,0.0420,-0.0000,-0.0001
36.5631,0.9500,4.4300,0.9558,4.4945,-0.0058,-0.0645,0.0145,-0.0033,-0.0041,-0.0452,0.0186,0.0419,-0.0000,-0.0001
36.6133,0.9500,4.4300,0.9559,4.4946,-0.0059,-0.0646,0.0143,-0.0035,-0.0041,-0.0452,0.0186,0.0419,-0.0001,-0.0002
36.6636,0.9500,4.4300,0.9560,4.4947,-0.0060,-0.0647,0.0143,-0.0036,-0.0042,-0.0453,0.0186,0.0418,-0.0001,-0.0001
36.7139,0.9500,4.4300,0.9560,4.4947,-0.0060,-0.0647,0.0143,-0.0036,-0.0042,-0.0453,0.0186,0.0417,-0.0001,-0.0000
36.7641,0.9500,4.4300,0.9561,4.4947,-0.0061,-0.0647,0.0140,-0.0037,-0.0043,-0.0453,0.0185,0.0417,-0.0002,-0.0001
36.8144,0.9500,4.4300,0.9563,4.4947,-0.0063,-0.0647,0.0139,-0.0036,-0.0044,-0.0453,0.0185,0.0416,-0.0003,0.0001
36.8646,0.9500,4.4300,0.9565,4.4947,-0.0065,-0.0647,0.0136,-0.0037,-0.0045,-0.0453,0.0185,0.0416,-0.0004,0.0000
36.9149,0.9500,4.4300,0.9568,4.4946,-0.0068,-0.0646,0.0132,-0.0037,-0.0047,-0.0452,0.0185,0.0415,-0.0006,0.0001
36.9651,0.9500,4.4300,0.9571,4.4946,-0.0071,-0.0646,0.0130,-0.0037,-0.0049,-0.0452,0.0185,0.0414,-0.0006,0.0001
37.0154,0.9500,4.4300,0.9573,4.4946,-0.0073,-0.0646,0.0128,-0.0040,-0.0051,-0.0452,0.0185,0.0414,-0.0005,-0.0001
37.0657,0.9500,4.4300,0.9576,4.4946,-0.0076,-0.0646,0.0127,-0.0040,-0.0053,-0.0452,0.0185,0.0413,-0.0005,-0.0000
37.1159,0.9500,4.4300,0.9578,4.4946,-0.0078,-0.0646,0.0126,-0.0038,-0.0055,-0.0452,0.0185,0.0412,-0.0004,0.0001
37.1665,0.9500,4.4300,0.9582,4.4945,-0.0082,-0.0645,0.0120,-0.0038,-0.0057,-0.0451,0.0185,0.0412,-0.0008,0.0002
37.2168,0.9500,4.4300,0.9584,4.4945,-0.0084,-0.0645,0.0122,-0.0040,-0.0059,-0.0451,0.0185,0.0411,-0.0004,-0.0000
37.2670,0.9500,4.4300,0.9588,4.4944,-0.0088,-0.0644,0.0115,-0.0039,-0.0062,-0.0451,0.0185,0.0410,-0.0008,0.0002
37.3173,0.9500,4.4300,0.9592,4.4943,-0.0092,-0.0643,0.0114,-0.0038,-0.0064,-0.0450,0.0185,0.0410,-0.0007,0.0002
37.3677,0.9500,4.4300,0.9595,4.4941,-0.0095,-0.0641,0.0111,-0.0037,-0.0066,-0.0449,0.0185,0.0409,-0.0007,0.0003
37.4179,0.9500,4.4300,0.9598,4.4940,-0.0098,-0.0640,0.0111,-0.0037,-0.0068,-0.0448,0.0184,0.0408,-0.0005,0.0002
37.4682,0.9500,4.4300,0.9602,4.4938,-0.0102,-0.0638,0.0105,-0.0036,-0.0071,-0.0447,0.0184,0.0408,-0.0008,0.0003
37.5185,0.9500,4.4300,0.9605,4.4937,-0.0105,-0.0637,0.0104,-0.0036,-0.0074,-0.0446,0.0184,0.0407,-0.0007,0.0003
37.5687,0.9500,4.4300,0.9607,4.4937,-0.0107,-0.0637,0.0107,-0.0039,-0.0075,-0.0446,0.0184,0.0406,-0.0003,-0.0000
37.6190,0.9500,4.4300,0.9611,4.4936,-0.0111,-0.0636,0.0097,-0.0037,-0.0078,-0.0445,0.0184,0.0406,-0.0009,0.0003
37.6693,0.9500,4.4300,0.9614,4.4935,-0.0114,-0.0635,0.0098,-0.0039,-0.0080,-0.0445,0.0184,0.0405,-0.0006,0.0001
37.7196,0.9500,4.4300,0.9634,4.4920,-0.0134,-0.0620,0.0050,0.0001,-0.0094,-0.0434,0.0184,0.0405,-0.0040,0.0031
37.7698,0.9500,4.4300,0.9649,4.4909,-0.0149,-0.0609,0.0050,-0.0000,-0.0104,-0.0426,0.0184,0.0404,-0.0030,0.0022
37.8201,0.9500,4.4300,0.9653,4.4907,-0.0153,-0.0607,0.0068,-0.0018,-0.0107,-0.0425,0.0183,0.0403,-0.0008,0.0004
37.8704,0.9500,4.4300,0.9654,4.4907,-0.0154,-0.0607,0.0075,-0.0024,-0.0108,-0.0425,0.0183,0.0403,-0.0001,-0.0001
37.9207,0.9500,4.4300,0.9656,4.4908,-0.0156,-0.0608,0.0070,-0.0023,-0.0109,-0.0425,0.0183,0.0402,-0.0004,-0.0000
37.9708,0.9500,4.4300,0.9658,4.4907,-0.0158,-0.0607,0.0068,-0.0021,-0.0111,-0.0425,0.0183,0.0401,-0.0005,0.0002
38.0211,0.9500,4.4300,0.9659,4.4907,-0.0159,-0.0607,0.0068,-0.0024,-0.0112,-0.0425,0.0183,0.0401,-0.0003,-0.0000
38.0714,0.9500,4.4300,0.9664,4.4910,-0.0164,-0.0610,0.0058,-0.0033,-0.0115,-0.0427,0.0183,0.0400,-0.0010,-0.0007
38.1216,0.9500,4.4300,0.9667,4.4911,-0.0167,-0.0611,0.0061,-0.0030,-0.0117,-0.0428,0.0182,0.0400,-0.0005,-0.0002
38.1719,0.9500,4.4300,0.9668,4.4911,-0.0168,-0.0611,0.0063,-0.0027,-0.0117,-0.0427,0.0182,0.0399,-0.0002,0.0001
38.2221,0.9500,4.4300,0.9670,4.4909,-0.0170,-0.0609,0.0060,-0.0025,-0.0119,-0.0426,0.0182,0.0398,-0.0004,0.0003
38.2723,0.9500,4.4300,0.9671,4.4909,-0.0171,-0.0609,0.0060,-0.0028,-0.0120,-0.0426,0.0182,0.0398,-0.0002,0.0001
38.3226,0.9500,4.4300,0.9674,4.4907,-0.0174,-0.0607,0.0055,-0.0025,-0.0121,-0.0425,0.0182,0.0397,-0.0006,0.0003
38.3728,0.9500,4.4300,0.9675,4.4906,-0.0175,-0.0606,0.0055,-0.0025,-0.0123,-0.0424,0.0182,0.0397,-0.0004,0.0003
38.4231,0.9500,4.4300,0.9678,4.4905,-0.0178,-0.0605,0.0052,-0.0025,-0.0124,-0.0423,0.0181,0.0396,-0.0005,0.0003
38.4734,0.9500,4.4300,0.9679,4.4905,-0.0179,-0.0605,0.0054,-0.0027,-0.0125,-0.0423,0.0181,0.0395,-0.0002,0.0000
38.5236,0.9500,4.4300,0.9681,4.4904,-0.0181,-0.0604,0.0051,-0.0026,-0.0127,-0.0423,0.0181,0.0395,-0.0004,0.0002
38.5739,0.9500,4.4300,0.9683,4.4903,-0.0183,-0.0603,0.0049,-0.0026,-0.0128,-0.0422,0.0181,0.0394,-0.0004,0.0002
38.6240,0.9500,4.4300,0.9684,4.4902,-0.0184,-0.0602,0.0050,-0.0026,-0.0129,-0.0421,0.0181,0.0394,-0.0002,0.0002
38.6744,0.9500,4.4300,0.9685,4.4901,-0.0185,-0.0601,0.0048,-0.0027,-0.0130,-0.0421,0.0181,0.0393,-0.0003,0.0001
38.7247,0.9500,4.4300,0.9688,4.4900,-0.0188,-0.0600,0.0044,-0.0026,-0.0132,-0.0420,0.0180,0.0392,-0.0005,0.0002
38.7749,0.9500,4.4300,0.9690,4.4900,-0.0190,-0.0600,0.0043,-0.0028,-0.0133,-0.0420,0.0180,0.0392,-0.0004,0.0001
38.8251,0.9500,4.4300,0.9692,4.4898,-0.0192,-0.0598,0.0041,-0.0024,-0.0134,-0.0419,0.0180,0.0391,-0.0004,0.0003
38.8754,0.9500,4.4300,0.9693,4.4897,-0.0193,-0.0597,0.0042,-0.0025,-0.0135,-0.0418,0.0180,0.0391,-0.0002,0.0002
38.9257,0.9500,4.4300,0.9695,4.4896,-0.0195,-0.0596,0.0039,-0.0024,-0.0137,-0.0417,0.0180,0.0390,-0.0004,0.0003
38.9760,0.9500,4.4300,0.9697,4.4894,-0.0197,-0.0594,0.0037,-0.0023,-0.0138,-0.0416,0.0179,0.0389,-0.0004,0.0004
39.0262,0.9500,4.4300,0.9698,4.4893,-0.0198,-0.0593,0.0039,-0.0025,-0.0139,-0.0415,0.0179,0.0389,-0.0002,0.0001
39.0766,0.9500,4.4300,0.9700,4.4892,-0.0200,-0.0592,0.0036,-0.0024,-0.0140,-0.0414,0.0179,0.0388,-0.0003,0.0003
39.1268,0.9500,4.4300,0.9700,4.4892,-0.0200,-0.0592,0.0037,-0.0025,-0.0140,-0.0414,0.0179,0.0388,-0.0001,0.0001
39.1779,0.9500,4.4300,0.9702,4.4890,-0.0202,-0.0590,0.0033,-0.0024,-0.0142,-0.0413,0.0179,0.0387,-0.0004,0.0003
39.2281,0.9500,4.4300,0.9703,4.4890,-0.0203,-0.0590,0.0035,-0.0025,-0.0142,-0.0413,0.0178,0.0386,-0.0001,0.0001
39.2784,0.9500,4.4300,0.9704,4.4889,-0.0204,-0.0589,0.0033,-0.0024,-0.0143,-0.0412,0.0178,0.0386,-0.0003,0.0002
39.3286,0.9500,4.4300,0.9705,4.4888,-0.0205,-0.0588,0.0033,-0.0025,-0.0144,-0.0412,0.0178,0.0385,-0.0002,0.0001
39.3789,0.9500,4.4300,0.9707,4.4887,-0.0207,-0.0587,0.0030,-0.0024,-0.0145,-0.0411,0.0178,0.0385,-0.0003,0.0003
39.4291,0.9500,4.4300,0.9708,4.4886,-0.0208,-0.0586,0.0029,-0.0024,-0.0146,-0.0410,0.0178,0.0384,-0.0003,0.0002
39.4794,0.9500,4.4300,0.9709,4.4884,-0.0209,-0.0584,0.0028,-0.0023,-0.0147,-0.0409,0.0177,0.0383,-0.0003,0.0003
39.5297,0.9500,4.4300,0.9711,4.4883,-0.0211,-0.0583,0.0027,-0.0023,-0.0148,-0.0408,0.0177,0.0383,-0.0003,0.0002
39.5800,0.9500,4.4300,0.9712,4.4882,-0.0212,-0.0582,0.0027,-0.0024,-0.0148,-0.0408,0.0177,0.0382,-0.0002,0.0002
39.6302,0.9500,4.4300,0.9713,4.4881,-0.0213,-0.0581,0.0025,-0.0023,-0.0149,-0.0407,0.0177,0.0382,-0.0003,0.0002
39.6805,0.9500,4.4300,0.9714,4.4880,-0.0214,-0.0580,0.0025,-0.0023,-0.0150,-0.0406,0.0176,0.0381,-0.0002,0.0002
39.7308,0.9500,4.4300,0.9715,4.4880,-0.0215,-0.0580,0.0025,-0.0024,-0.0150,-0.0406,0.0176,0.0381,-0.0001,0.0001
39.7811,0.9500,4.4300,0.9715,4.4879,-0.0215,-0.0579,0.0024,-0.0024,-0.0151,-0.0405,0.0176,0.0380,-0.0001,0.0001
39.8314,0.9500,4.4300,0.9716,4.4878,-0.0216,-0.0578,0.0022,-0.0024,-0.0151,-0.0405,0.0176,0.0379,-0.0002,0.0002
39.8817,0.9500,4.4300,0.9718,4.4877,-0.0218,-0.0577,0.0020,-0.0023,-0.0152,-0.0404,0.0176,0.0379,-0.0003,0.0002
39.9318,0.9500,4.4300,0.9730,4.4866,-0.0230,-0.0566,-0.0011,0.0003,-0.0161,-0.0397,0.0175,0.0378,-0.0025,0.0021
39.9820,0.9500,4.4300,0.9738,4.4860,-0.0238,-0.0560,-0.0007,-0.0001,-0.0167,-0.0392,0.0175,0.0378,-0.0016,0.0013
40.0323,0.9500,4.4300,0.9738,4.4860,-0.0238,-0.0560,0.0007,-0.0014,-0.0167,-0.0392,0.0175,0.0377,-0.0001,0.0001
40.0825,0.9500,4.4300,0.9739,4.4859,-0.0239,-0.0559,0.0007,-0.0015,-0.0167,-0.0392,0.0175,0.0377,-0.0000,0.0000
40.1327,0.9500,4.4300,0.9739,4.4859,-0.0239,-0.0559,0.0007,-0.0016,-0.0167,-0.0392,0.0174,0.0376,-0.0000,0.0000
40.1831,0.9500,4.4300,0.9739,4.4859,-0.0239,-0.0559,0.0007,-0.0016,-0.0167,-0.0392,0.0174,0.0375,-0.0000,0.0000
40.2334,0.9500,4.4300,0.9739,4.4859,-0.0239,-0.0559,0.0006,-0.0016,-0.0167,-0.0391,0.0174,0.0375,-0.0001,0.0001
40.2837,0.9500,4.4300,0.9739,4.4859,-0.0239,-0.0559,0.0005,-0.0016,-0.0168,-0.0391,0.0174,0.0374,-0.0001,0.0001
40.3339,0.9500,4.4300,0.9740,4.4858,-0.0240,-0.0558,0.0004,-0.0016,-0.0168,-0.0391,0.0173,0.0374,-0.0001,0.0001
40.3842,0.9500,4.4300,0.9740,4.4858,-0.0240,-0.0558,0.0004,-0.0017,-0.0168,-0.0390,0.0173,0.0373,-0.0001,0.0001
40.4344,0.9500,4.4300,0.9741,4.4857,-0.0241,-0.0557,0.0003,-0.0016,-0.0169,-0.0390,0.0173,0.0373,-0.0002,0.0001
40.4847,0.9500,4.4300,0.9741,4.4857,-0.0241,-0.0557,0.0004,-0.0018,-0.0169,-0.0390,0.0173,0.0372,-0.0000,0.0000
40.5349,0.9500,4.4300,0.9741,4.4857,-0.0241,-0.0557,0.0004,-0.0018,-0.0169,-0.0390,0.0172,0.0371,-0.0000,-0.0000
40.5852,0.9500,4.4300,0.9741,4.4857,-0.0241,-0.0557,0.0003,-0.0019,-0.0169,-0.0390,0.0172,0.0371,-0.0000,0.0000
40.6354,0.9500,4.4300,0.9741,4.4857,-0.0241,-0.0557,0.0003,-0.0020,-0.0169,-0.0390,0.0172,0.0370,-0.0000,-0.0000
40.6858,0.9500,4.4300,0.9741,4.4857,-0.0241,-0.0557,0.0003,-0.0020,-0.0169,-0.0390,0.0172,0.0370,-0.0000,0.0000
40.7361,0.9500,4.4300,0.9742,4.4857,-0.0242,-0.0557,0.0002,-0.0020,-0.0169,-0.0390,0.0172,0.0369,-0.0000,0.0000
40.7863,0.9500,4.4300,0.9742,4.4857,-0.0242,-0.0557,0.0002,-0.0021,-0.0169,-0.0390,0.0171,0.0369,-0.0000,0.0000
40.8367,0.9500,4.4300,0.9742,4.4857,-0.0242,-0.0557,0.0002,-0.0022,-0.0169,-0.0390,0.0171,0.0368,0.0000,-0.0000
